Namespace(batch_size=5, epoch=10, log_dir='./logs', lr=0.005, lr_milestion=[2, 4, 6], num_workers=2, root='./', show_interval=1, snapshot_interval=1, test_interval=2)
[epoch:0, batch:279]	 [loss:0.8949780]	 [lr:0.0050000]
[epoch:0, batch:280]	 [loss:0.9027603]	 [lr:0.0050000]
[epoch:0, batch:281]	 [loss:0.9371247]	 [lr:0.0050000]
[epoch:0, batch:282]	 [loss:0.8919786]	 [lr:0.0050000]
[epoch:0, batch:283]	 [loss:0.8922498]	 [lr:0.0050000]
[epoch:0, batch:284]	 [loss:0.8923864]	 [lr:0.0050000]
[epoch:0, batch:285]	 [loss:0.9143773]	 [lr:0.0050000]
[epoch:0, batch:286]	 [loss:0.8961892]	 [lr:0.0050000]
[epoch:0, batch:287]	 [loss:0.8981975]	 [lr:0.0050000]
[epoch:0, batch:288]	 [loss:0.8978898]	 [lr:0.0050000]
[epoch:0, batch:289]	 [loss:0.8949796]	 [lr:0.0050000]
[epoch:0, batch:290]	 [loss:0.8965242]	 [lr:0.0050000]
[epoch:0, batch:291]	 [loss:0.9015876]	 [lr:0.0050000]
[epoch:0, batch:292]	 [loss:0.9567416]	 [lr:0.0050000]
[epoch:0, batch:293]	 [loss:0.9199890]	 [lr:0.0050000]
[epoch:0, batch:294]	 [loss:0.9039208]	 [lr:0.0050000]
[epoch:0, batch:295]	 [loss:0.8920396]	 [lr:0.0050000]
[epoch:0, batch:296]	 [loss:0.8962000]	 [lr:0.0050000]
[epoch:0, batch:297]	 [loss:0.8917823]	 [lr:0.0050000]
[epoch:0, batch:298]	 [loss:0.8943765]	 [lr:0.0050000]
[epoch:0, batch:299]	 [loss:0.8980402]	 [lr:0.0050000]
[epoch:0, batch:300]	 [loss:0.8899266]	 [lr:0.0050000]
[epoch:0, batch:301]	 [loss:0.9041562]	 [lr:0.0050000]
[epoch:0, batch:302]	 [loss:0.9079713]	 [lr:0.0050000]
[epoch:0, batch:303]	 [loss:0.9404843]	 [lr:0.0050000]
[epoch:0, batch:304]	 [loss:0.9194427]	 [lr:0.0050000]
[epoch:0, batch:305]	 [loss:0.9026400]	 [lr:0.0050000]
[epoch:0, batch:306]	 [loss:0.9656928]	 [lr:0.0050000]
[epoch:0, batch:307]	 [loss:0.8998312]	 [lr:0.0050000]
[epoch:0, batch:308]	 [loss:0.8924275]	 [lr:0.0050000]
[epoch:0, batch:309]	 [loss:0.9180034]	 [lr:0.0050000]
[epoch:0, batch:310]	 [loss:0.8977174]	 [lr:0.0050000]
[epoch:0, batch:311]	 [loss:0.8925910]	 [lr:0.0050000]
[epoch:0, batch:312]	 [loss:0.8971882]	 [lr:0.0050000]
[epoch:0, batch:313]	 [loss:0.9191992]	 [lr:0.0050000]
[epoch:0, batch:314]	 [loss:0.8986213]	 [lr:0.0050000]
[epoch:0, batch:315]	 [loss:0.8960273]	 [lr:0.0050000]
[epoch:0, batch:316]	 [loss:0.8895293]	 [lr:0.0050000]
[epoch:0, batch:317]	 [loss:0.9135244]	 [lr:0.0050000]
[epoch:0, batch:318]	 [loss:0.9052760]	 [lr:0.0050000]
[epoch:0, batch:319]	 [loss:0.9253501]	 [lr:0.0050000]
[epoch:0, batch:320]	 [loss:0.9038135]	 [lr:0.0050000]
[epoch:0, batch:321]	 [loss:0.9088532]	 [lr:0.0050000]
[epoch:0, batch:322]	 [loss:0.9021159]	 [lr:0.0050000]
[epoch:0, batch:323]	 [loss:0.9245860]	 [lr:0.0050000]
[epoch:0, batch:324]	 [loss:0.8940141]	 [lr:0.0050000]
[epoch:0, batch:325]	 [loss:0.9367303]	 [lr:0.0050000]
[epoch:0, batch:326]	 [loss:0.9393287]	 [lr:0.0050000]
[epoch:0, batch:327]	 [loss:0.8999516]	 [lr:0.0050000]
[epoch:0, batch:328]	 [loss:0.8944868]	 [lr:0.0050000]
[epoch:0, batch:329]	 [loss:0.9276472]	 [lr:0.0050000]
[epoch:0, batch:330]	 [loss:0.9003693]	 [lr:0.0050000]
[epoch:0, batch:331]	 [loss:0.8958762]	 [lr:0.0050000]
[epoch:0, batch:332]	 [loss:0.9265736]	 [lr:0.0050000]
[epoch:0, batch:333]	 [loss:0.9360943]	 [lr:0.0050000]
[epoch:0, batch:334]	 [loss:0.8909382]	 [lr:0.0050000]
[epoch:0, batch:335]	 [loss:0.9148890]	 [lr:0.0050000]
[epoch:0, batch:336]	 [loss:0.9012538]	 [lr:0.0050000]
[epoch:0, batch:337]	 [loss:0.9065785]	 [lr:0.0050000]
[epoch:0, batch:338]	 [loss:0.8962868]	 [lr:0.0050000]
[epoch:0, batch:339]	 [loss:0.9035715]	 [lr:0.0050000]
[epoch:0, batch:340]	 [loss:0.9023201]	 [lr:0.0050000]
[epoch:0, batch:341]	 [loss:0.9155543]	 [lr:0.0050000]
[epoch:0, batch:342]	 [loss:0.8914095]	 [lr:0.0050000]
[epoch:0, batch:343]	 [loss:0.9095967]	 [lr:0.0050000]
[epoch:0, batch:344]	 [loss:0.9009835]	 [lr:0.0050000]
[epoch:0, batch:345]	 [loss:0.8917846]	 [lr:0.0050000]
[epoch:0, batch:346]	 [loss:0.8981957]	 [lr:0.0050000]
[epoch:0, batch:347]	 [loss:0.8979474]	 [lr:0.0050000]
[epoch:0, batch:348]	 [loss:0.8963042]	 [lr:0.0050000]
[epoch:0, batch:349]	 [loss:0.8941742]	 [lr:0.0050000]
[epoch:0, batch:350]	 [loss:0.9018633]	 [lr:0.0050000]
[epoch:0, batch:351]	 [loss:0.9139730]	 [lr:0.0050000]
[epoch:0, batch:352]	 [loss:0.9272975]	 [lr:0.0050000]
[epoch:0, batch:353]	 [loss:0.8929439]	 [lr:0.0050000]
[epoch:0, batch:354]	 [loss:0.9140418]	 [lr:0.0050000]
